,Year,Month,EVAP,PRECIP,TMAX,TMIN,FECHA,FECHA2
0,1990,1,2.373333333333333,26.4,36.5,6.0,1990/1/01,1990-01-01
1,1990,2,3.196428571428572,4.8,36.0,6.0,1990/2/01,1990-02-01
2,1990,3,5.861290322580645,2.7,40.0,6.0,1990/3/01,1990-03-01
3,1990,4,7.573333333333333,0.5,43.0,11.0,1990/4/01,1990-04-01
4,1990,5,8.638709677419355,0.0,41.0,13.0,1990/5/01,1990-05-01
5,1990,6,7.113333333333333,71.30000000000001,42.0,20.0,1990/6/01,1990-06-01
6,1990,7,4.529032258064516,384.0,41.0,22.0,1990/7/01,1990-07-01
7,1990,8,5.04516129032258,126.2,41.0,20.5,1990/8/01,1990-08-01
8,1990,9,4.430000000000001,102.6,39.0,20.5,1990/9/01,1990-09-01
9,1991,1,2.6258064516129034,0.0,35.0,7.0,1991/1/01,1991-01-01
10,1991,2,4.3,0.0,37.0,4.5,1991/2/01,1991-02-01
11,1991,3,5.587096774193548,0.0,39.0,8.0,1991/3/01,1991-03-01
12,1991,4,7.739999999999999,0.0,45.0,8.0,1991/4/01,1991-04-01
13,1991,5,6.870967741935484,0.0,39.0,11.5,1991/5/01,1991-05-01
14,1991,6,7.053333333333333,5.800000000000001,41.0,18.0,1991/6/01,1991-06-01
15,1991,7,4.145161290322581,264.9,39.0,22.5,1991/7/01,1991-07-01
16,1991,8,3.9645161290322575,211.3,39.0,22.0,1991/8/01,1991-08-01
17,1991,9,3.066666666666667,191.6,37.5,21.0,1991/9/01,1991-09-01
18,1991,10,3.3774193548387097,59.1,39.5,13.5,1991/10/01,1991-10-01
19,1991,11,2.393333333333333,93.3,39.0,9.5,1991/11/01,1991-11-01
20,1991,12,1.2322580645161292,89.7,33.5,9.5,1991/12/01,1991-12-01
21,1992,1,1.7258064516129032,261.1,31.0,10.0,1992/1/01,1992-01-01
22,1992,2,2.789655172413793,16.9,34.5,7.0,1992/2/01,1992-02-01
23,1992,3,3.9741935483870967,0.3,39.5,9.0,1992/3/01,1992-03-01
24,1992,4,6.13,1.2,40.0,11.0,1992/4/01,1992-04-01
25,1992,5,7.662962962962963,0.0,41.0,14.0,1992/5/01,1992-05-01
26,1992,6,7.6571428571428575,30.8,45.5,16.5,1992/6/01,1992-06-01
27,1992,7,4.587096774193548,241.5,39.0,21.5,1992/7/01,1992-07-01
28,1992,8,4.590322580645162,149.4,38.0,22.5,1992/8/01,1992-08-01
29,1992,9,3.73,87.8,40.0,18.0,1992/9/01,1992-09-01
30,1992,10,3.693548387096774,9.9,40.0,16.5,1992/10/01,1992-10-01
31,1992,11,3.2366666666666664,1.3,39.5,6.5,1992/11/01,1992-11-01
32,1992,12,3.274193548387097,2.3,39.5,7.5,1992/12/01,1992-12-01
33,1993,1,2.790322580645161,12.5,38.0,8.5,1993/1/01,1993-01-01
34,1993,2,3.982142857142857,1.0,37.5,7.5,1993/2/01,1993-02-01
35,1993,12,2.703225806451613,0.0,36.5,10.0,1993/12/01,1993-12-01
36,1994,1,2.9516129032258065,1.2,37.0,5.5,1994/1/01,1994-01-01
37,1994,2,4.435714285714286,0.0,37.5,5.5,1994/2/01,1994-02-01
38,1994,3,5.27741935483871,3.5,38.5,8.5,1994/3/01,1994-03-01
39,1995,1,3.041935483870968,0.0,36.0,5.0,1995/1/01,1995-01-01
40,1996,1,3.041935483870968,0.0,36.0,5.0,1996/1/01,1996-01-01
41,1996,2,3.875862068965517,0.0,38.0,8.5,1996/2/01,1996-02-01
42,1996,3,4.941935483870967,0.0,37.5,6.5,1996/3/01,1996-03-01
43,1996,4,6.59,0.0,38.0,9.0,1996/4/01,1996-04-01
44,1996,5,7.374193548387097,0.7,40.0,12.5,1996/5/01,1996-05-01
45,1996,6,6.79,62.8,40.0,21.0,1996/6/01,1996-06-01
46,1996,7,4.780645161290322,297.2,40.0,22.5,1996/7/01,1996-07-01
47,1996,8,4.035483870967742,65.4,38.0,21.0,1996/8/01,1996-08-01
48,1996,9,3.8,79.3,38.0,21.0,1996/9/01,1996-09-01
49,1996,10,3.92258064516129,14.6,40.0,12.0,1996/10/01,1996-10-01
50,1996,11,3.673333333333333,30.6,40.0,10.0,1996/11/01,1996-11-01
51,1997,1,2.948387096774194,54.1,34.5,0.0,1997/1/01,1997-01-01
52,1997,2,3.95,8.8,36.0,4.0,1997/2/01,1997-02-01
53,1997,3,5.27741935483871,2.7,38.5,4.0,1997/3/01,1997-03-01
54,1997,4,4.973333333333333,48.2,36.0,11.0,1997/4/01,1997-04-01
55,1997,5,7.687096774193549,13.7,41.0,11.5,1997/5/01,1997-05-01
56,1997,6,7.483333333333333,52.1,40.5,21.5,1997/6/01,1997-06-01
57,1997,7,5.47741935483871,205.5,40.0,21.0,1997/7/01,1997-07-01
58,1997,8,5.206451612903226,222.3,38.0,22.0,1997/8/01,1997-08-01
59,1997,9,4.843333333333334,256.4,38.0,22.0,1997/9/01,1997-09-01
60,1997,10,4.190322580645161,67.4,38.0,15.0,1997/10/01,1997-10-01
61,1997,11,3.523333333333333,76.6,37.0,9.0,1997/11/01,1997-11-01
62,1997,12,2.5354838709677416,29.1,34.0,7.0,1997/12/01,1997-12-01
63,1998,1,3.2870967741935484,0.0,36.0,4.0,1998/1/01,1998-01-01
64,1998,2,4.375,20.6,35.0,5.0,1998/2/01,1998-02-01
65,1998,3,5.554838709677419,3.0,38.5,7.0,1998/3/01,1998-03-01
66,1998,4,7.056666666666667,0.0,39.0,9.0,1998/4/01,1998-04-01
67,1998,5,7.467741935483871,0.0,40.0,12.0,1998/5/01,1998-05-01
68,1998,6,7.403333333333333,6.8,42.0,19.0,1998/6/01,1998-06-01
69,1998,7,5.0,210.9,40.0,22.5,1998/7/01,1998-07-01
