Year,EVAP,PRECIP,TMAX,TMIN
1961,5.015068493150685,913.1,42.5,6.0
1962,4.984383561643836,638.4,42.0,4.5
1963,4.791780821917809,834.7,41.5,4.5
1964,4.82568306010929,633.7,43.0,1.5
1965,5.014520547945206,764.4,42.5,3.0
1966,4.974520547945206,552.1,42.5,5.5
1967,4.922739726027397,683.9,42.0,3.0
1968,4.661748633879782,891.7,42.0,3.5
1969,4.7164383561643834,844.4,44.5,3.5
1970,4.962191780821918,668.0,42.5,4.5
1971,5.111232876712329,802.6,41.5,1.5
1972,4.959016393442623,1225.4,42.0,5.0
1973,4.6227397260273975,720.5,41.0,3.0
1974,4.974246575342465,844.9,42.0,2.5
1975,5.174520547945206,600.1,41.0,3.0
1976,5.357910447761195,824.8,41.5,3.5
1977,5.189041095890411,669.6,40.0,0.0
1978,5.17945205479452,583.2,42.5,5.0
1979,5.368767123287671,459.7,42.5,3.0
1980,5.108469945355191,981.8,43.0,6.0
1981,4.372328767123288,948.3,42.0,6.5
1982,5.296164383561644,699.1,43.0,5.0
1983,4.873150684931507,1166.1,42.5,6.0
1984,4.589890710382514,1220.3,41.5,4.5
1985,4.66027397260274,1008.6,40.0,4.0
1986,4.895890410958904,1171.3,41.5,5.0
1987,5.158630136986302,385.5,42.5,4.0
1988,5.132786885245902,741.6,43.0,0.5
1989,4.9496710526315795,465.59999999999997,41.5,4.0
1990,5.433333333333334,718.5,43.0,6.0
1991,4.355890410958905,915.6999999999999,45.0,4.5
1992,4.2343930635838145,802.5,45.5,6.5
1993,3.131111111111111,13.5,38.0,7.5
1994,4.214444444444444,4.7,38.5,5.5
1995,3.041935483870968,0.0,36.0,5.0
1996,4.802985074626866,550.6,40.0,5.0
1997,4.844657534246576,1036.9,41.0,0.0
1998,4.965205479452055,999.8,42.0,4.0
1999,5.04958217270195,822.0,40.5,4.0
2000,5.184426229508197,1186.4,39.0,3.0
2001,4.761095890410958,751.1,40.0,3.0
2002,5.490684931506849,668.1,40.5,3.0
2003,5.233150684931506,792.9,41.0,3.0
2004,5.045355191256831,920.9,41.0,3.0
2005,4.893424657534246,634.1,40.0,5.5
2006,5.244657534246575,792.8,42.0,1.0
2007,5.07874251497006,665.6,40.0,5.0
2008,5.25910447761194,802.0,40.0,0.0
2009,4.934246575342466,810.3,41.0,6.0
2010,4.344311377245509,592.4,41.0,5.5
2011,4.722754491017964,588.7,39.0,-2.5
2012,4.644476744186047,732.5,41.0,4.5
2013,4.395209580838324,769.9,40.0,3.5
2014,4.632328767123288,958.0,40.0,5.0
2015,4.232934131736527,1033.1,40.0,6.0
2016,4.265970149253731,961.1,39.5,4.5
2017,4.542244224422442,654.1,38.5,6.0
2018,4.807734806629835,274.1,39.5,6.0
