Year,Month,EVAP,PRECIP,TMAX,TMIN,FECHA,FECHA2
1961,1,5,97.1,37,8.5,01/01/1961,01/01/1961
1961,2,5,0,37.5,6,01/02/1961,01/02/1961
1961,3,5.448387097,0,39,6,01/03/1961,01/03/1961
1961,4,6.993333333,9.6,42.5,9,01/04/1961,01/04/1961
1961,5,8.361290323,0,41.5,13,01/05/1961,01/05/1961
1961,6,7.283333333,44.1,40.5,19.5,01/06/1961,01/06/1961
1961,7,4.216129032,301.2,38,22.5,01/07/1961,01/07/1961
1961,8,4.429032258,145.7,37.5,22,01/08/1961,01/08/1961
1961,9,3.77,169.9,36,21,01/09/1961,01/09/1961
1961,10,3.835483871,38.6,38.5,17,01/10/1961,01/10/1961
1961,11,3.383333333,0,36.5,8.5,01/11/1961,01/11/1961
1961,12,2.503225806,106.9,35,8,01/12/1961,01/12/1961
1962,1,2.84516129,5,34.5,4.5,01/01/1962,01/01/1962
1962,2,4.028571429,0,34.5,6.5,01/02/1962,01/02/1962
1962,3,5.867741935,1.4,37.5,4.5,01/03/1962,01/03/1962
1962,4,7.9,0,42,5.5,01/04/1962,01/04/1962
1962,5,8.764516129,0,41.5,14,01/05/1962,01/05/1962
1962,6,7.603333333,63.8,40.5,14,01/06/1962,01/06/1962
1962,7,5.422580645,116,39,22,01/07/1962,01/07/1962
1962,8,4.683870968,185.4,39.5,21,01/08/1962,01/08/1962
1962,9,3.29,118.8,36.5,22,01/09/1962,01/09/1962
1962,10,3.75483871,102.5,39,17.5,01/10/1962,01/10/1962
1962,11,3.136666667,44.9,40.5,9,01/11/1962,01/11/1962
1962,12,2.487096774,0.6,35,7.5,01/12/1962,01/12/1962
1963,1,3.051612903,3,37.5,5,01/01/1963,01/01/1963
1963,2,3.907142857,13.2,36.5,6.5,01/02/1963,01/02/1963
1963,3,6.248387097,0,39,4.5,01/03/1963,01/03/1963
1963,4,7.6,0,41.5,9,01/04/1963,01/04/1963
1963,5,8.583870968,0,40.5,11,01/05/1963,01/05/1963
1963,6,7.273333333,67.5,40,18.5,01/06/1963,01/06/1963
1963,7,3.803225806,226,38.5,21,01/07/1963,01/07/1963
1963,8,4.235483871,149.1,38,21,01/08/1963,01/08/1963
1963,9,3.986666667,194.2,39,19.5,01/09/1963,01/09/1963
1963,10,3.867741935,49.2,37,16,01/10/1963,01/10/1963
1963,11,2.946666667,2,36,10.5,01/11/1963,01/11/1963
1963,12,1.996774194,130.5,35.5,7,01/12/1963,01/12/1963
1964,1,2.138709677,2.2,33,3.5,01/01/1964,01/01/1964
1964,2,3.844827586,0,35,1.5,01/02/1964,01/02/1964
1964,3,4.948387097,3.2,39,3,01/03/1964,01/03/1964
1964,4,7.953333333,0,43,8,01/04/1964,01/04/1964
1964,5,8.261290323,0.3,42,10,01/05/1964,01/05/1964
1964,6,6.956666667,5.9,40,16,01/06/1964,01/06/1964
1964,7,6.193548387,123.7,40,22,01/07/1964,01/07/1964
1964,8,4.603225806,209.3,39,21.5,01/08/1964,01/08/1964
1964,9,3.626666667,118.8,36,21.5,01/09/1964,01/09/1964
1964,10,3.235483871,155,36.5,17,01/10/1964,01/10/1964
1964,11,3.373333333,2,38,7.5,01/11/1964,01/11/1964
1964,12,2.793548387,13.3,36.5,5,01/12/1964,01/12/1964
1965,1,3.090322581,11.7,37,6,01/01/1965,01/01/1965
1965,2,4.142857143,12.8,37,3,01/02/1965,01/02/1965
1965,3,6.277419355,0,38,4.5,01/03/1965,01/03/1965
1965,4,7.383333333,0,41.5,10.5,01/04/1965,01/04/1965
1965,5,8.470967742,0,42.5,11,01/05/1965,01/05/1965
1965,6,8.21,2.5,42,14,01/06/1965,01/06/1965
1965,7,5.4,234.1,40,21,01/07/1965,01/07/1965
1965,8,3.703225806,228.7,36.5,22,01/08/1965,01/08/1965
