,Year,EVAP,PRECIP,TMAX,TMIN,FECHA,FECHA2
0,1961,5.865753424657535,630.3,46.0,5.0,1961//01/01,1961-01-01
1,1962,6.132602739726027,583.1,45.5,4.0,1962//01/01,1962-01-01
2,1963,6.169747899159663,694.1,45.5,2.0,1963//01/01,1963-01-01
3,1964,6.224863387978143,422.3,44.0,2.5,1964//01/01,1964-01-01
4,1965,6.332602739726028,486.1,44.0,3.0,1965//01/01,1965-01-01
5,1966,6.246849315068493,798.1,46.5,3.0,1966//01/01,1966-01-01
6,1967,6.488493150684932,639.6,45.5,3.5,1967//01/01,1967-01-01
7,1968,5.981967213114754,677.9,45.0,6.0,1968//01/01,1968-01-01
8,1969,6.992561983471075,493.8,44.5,0.0,1969//01/01,1969-01-01
9,1970,6.751780821917809,566.6,43.0,5.0,1970//01/01,1970-01-01
10,1971,6.423835616438356,752.7,43.0,-0.5,1971//01/01,1971-01-01
11,1972,6.04344262295082,678.6,43.0,6.0,1972//01/01,1972-01-01
12,1973,5.772876712328767,507.3,43.0,2.5,1973//01/01,1973-01-01
13,1974,5.593698630136986,673.7,43.0,4.0,1974//01/01,1974-01-01
14,1975,5.50027397260274,420.7,43.0,2.5,1975//01/01,1975-01-01
15,1976,5.398907103825136,824.2,43.5,4.5,1976//01/01,1976-01-01
16,1977,5.539452054794521,399.7,42.0,5.0,1977//01/01,1977-01-01
17,1978,5.423561643835616,564.1,43.0,1.5,1978//01/01,1978-01-01
18,1979,5.312054794520548,563.6,44.0,3.0,1979//01/01,1979-01-01
19,1980,5.480327868852459,746.0,45.0,4.5,1980//01/01,1980-01-01
20,1981,4.676712328767123,822.9,41.5,6.5,1981//01/01,1981-01-01
21,1982,5.317260273972603,772.5,46.0,3.0,1982//01/01,1982-01-01
22,1983,4.872054794520548,808.2,44.5,4.0,1983//01/01,1983-01-01
23,1984,4.985245901639344,953.9,43.0,5.0,1984//01/01,1984-01-01
24,1985,5.341563786008231,442.7,43.0,4.0,1985//01/01,1985-01-01
25,1986,5.277808219178082,638.1,43.0,4.5,1986//01/01,1986-01-01
26,1987,5.950958904109589,276.8,45.5,-0.5,1987//01/01,1987-01-01
27,1988,5.667486338797815,557.8,43.0,2.0,1988//01/01,1988-01-01
28,1989,5.262191780821918,630.2,42.0,2.0,1989//01/01,1989-01-01
29,1990,5.115068493150685,804.1,43.0,5.0,1990//01/01,1990-01-01
30,1991,4.792328767123288,784.5,44.0,4.0,1991//01/01,1991-01-01
31,1992,5.175136612021857,552.1,44.5,3.5,1992//01/01,1992-01-01
32,1993,5.064383561643836,784.8,44.0,4.0,1993//01/01,1993-01-01
33,1994,5.405753424657534,503.0,43.0,3.5,1994//01/01,1994-01-01
34,1995,5.953972602739726,692.1999999999999,45.5,4.5,1995//01/01,1995-01-01
35,1996,5.999180327868852,752.8,42.5,2.5,1996//01/01,1996-01-01
36,1997,5.70986301369863,509.9,42.5,1.0,1997//01/01,1997-01-01
37,1998,5.8183561643835615,580.1,44.5,2.0,1998//01/01,1998-01-01
38,1999,6.378904109589041,486.5,45.0,2.0,1999//01/01,1999-01-01
39,2000,6.840163934426229,484.6,46.5,3.5,2000//01/01,2000-01-01
40,2001,5.963287671232877,656.2,42.0,4.0,2001//01/01,2001-01-01
41,2002,6.363013698630137,503.1,42.5,4.5,2002//01/01,2002-01-01
42,2003,6.164383561643835,462.2,42.5,1.0,2003//01/01,2003-01-01
43,2004,5.664480874316939,993.2,43.0,3.0,2004//01/01,2004-01-01
44,2005,5.7186301369863015,397.1,42.0,5.0,2005//01/01,2005-01-01
45,2006,5.625479452054795,695.0,44.5,0.0,2006//01/01,2006-01-01
46,2007,5.406849315068493,822.4,44.0,2.5,2007//01/01,2007-01-01
47,2008,5.536338797814207,556.5,43.0,1.0,2008//01/01,2008-01-01
48,2009,5.67910447761194,524.6,44.0,4.0,2009//01/01,2009-01-01
49,2010,5.62,464.8,43.0,3.0,2010//01/01,2010-01-01
50,2011,5.876164383561644,399.0,42.0,-3.0,2011//01/01,2011-01-01
51,2012,5.816939890710382,492.4,45.0,4.0,2012//01/01,2012-01-01
52,2013,4.751111111111111,0.0,40.0,-0.5,2013//01/01,2013-01-01
