FECHA,PRECIP,EVAP,TMAX,TMIN,FECHA_AUX
01/01/1961,0,null,null,null,01/01/1961
02/01/1961,0,null,null,null,02/01/1961
03/01/1961,0,null,null,null,03/01/1961
04/01/1961,0,null,null,null,04/01/1961
05/01/1961,0,null,null,null,05/01/1961
06/01/1961,0,null,null,null,06/01/1961
07/01/1961,0,null,null,null,07/01/1961
08/01/1961,0,null,null,null,08/01/1961
09/01/1961,0,null,null,null,09/01/1961
10/01/1961,0,null,null,null,10/01/1961
11/01/1961,0,null,null,null,11/01/1961
12/01/1961,0,null,null,null,12/01/1961
13/01/1961,0,null,32.5,null,13/01/1961
14/01/1961,0,null,32.5,11,14/01/1961
15/01/1961,0,5.2,32,10.5,15/01/1961
16/01/1961,0,4.9,30,13,16/01/1961
17/01/1961,1.4,3.5,28,14,17/01/1961
18/01/1961,13.9,1.4,22,18,18/01/1961
19/01/1961,26.1,1.7,22.5,19,19/01/1961
20/01/1961,32.6,4,24,19.5,20/01/1961
21/01/1961,1.7,5,29,19,21/01/1961
22/01/1961,24.9,3.9,21.5,18,22/01/1961
23/01/1961,16.2,3.5,19,17.5,23/01/1961
24/01/1961,0,2.6,27.5,14,24/01/1961
25/01/1961,0,3,29,14,25/01/1961
26/01/1961,0,3.4,31,13,26/01/1961
27/01/1961,0,4.2,30.5,12.5,27/01/1961
28/01/1961,0,4.1,29.5,12,28/01/1961
29/01/1961,0,4.1,31,12,29/01/1961
30/01/1961,0,4.3,29,13,30/01/1961
31/01/1961,0,3.5,33.5,15,31/01/1961
01/02/1961,0,5.1,31,12.5,01/02/1961
02/02/1961,0,5.3,31.5,12.5,02/02/1961
03/02/1961,0,4.7,29,12.5,03/02/1961
04/02/1961,0,5.6,28.5,13,04/02/1961
05/02/1961,0,6.5,27,11.5,05/02/1961
06/02/1961,0,4.7,25.5,8,06/02/1961
07/02/1961,0,4.8,27.5,8,07/02/1961
08/02/1961,0,4.4,29,9.5,08/02/1961
09/02/1961,0,4.8,31.5,11.5,09/02/1961
10/02/1961,0,5.9,34.5,10,10/02/1961
11/02/1961,0,6.4,37,9.5,11/02/1961
12/02/1961,0,6.3,37,11.5,12/02/1961
13/02/1961,0,5.7,35,10.5,13/02/1961
14/02/1961,0,4.3,32.5,14,14/02/1961
15/02/1961,0,5.1,39,12.5,15/02/1961
16/02/1961,0,5.8,33.5,13.5,16/02/1961
17/02/1961,0,5.1,30.5,11.5,17/02/1961
18/02/1961,0,5.6,30.5,12,18/02/1961
19/02/1961,0,4.1,26,11.5,19/02/1961
20/02/1961,0,5.7,29.5,10,20/02/1961
21/02/1961,0,5.9,30,8,21/02/1961
22/02/1961,0,6.1,31.5,8.5,22/02/1961
23/02/1961,0,3.1,28,11.5,23/02/1961
24/02/1961,0,8,34,11,24/02/1961
25/02/1961,0,7.8,37.5,9,25/02/1961
26/02/1961,0,7.4,34,10,26/02/1961
27/02/1961,0,5.9,34,10,27/02/1961
28/02/1961,0,6,34,12,28/02/1961
01/03/1961,0,6.8,36,11,01/03/1961
02/03/1961,0,7.1,34.5,13.5,02/03/1961
03/03/1961,0,7.1,32,10.5,03/03/1961
04/03/1961,0,7.2,34,10.5,04/03/1961
