FECHA,PRECIP,EVAP,TMAX,TMIN,FECHA_AUX
01/01/1961,0.0,6.0,34.0,18.0,01/01/1961
02/01/1961,0.0,6.0,34.0,18.0,02/01/1961
03/01/1961,0.0,6.0,34.0,18.0,03/01/1961
04/01/1961,0.0,6.0,34.0,18.0,04/01/1961
05/01/1961,0.0,6.0,34.0,18.0,05/01/1961
06/01/1961,0.0,6.0,34.0,18.0,06/01/1961
07/01/1961,0.0,6.0,34.0,18.0,07/01/1961
08/01/1961,0.0,6.0,34.0,18.0,08/01/1961
09/01/1961,0.0,6.0,34.0,18.0,09/01/1961
10/01/1961,0.0,6.0,34.0,18.0,10/01/1961
11/01/1961,0.0,6.0,34.0,18.0,11/01/1961
12/01/1961,0.0,6.0,34.0,18.0,12/01/1961
13/01/1961,0.0,6.0,32.5,18.0,13/01/1961
14/01/1961,0.0,6.0,32.5,11.0,14/01/1961
15/01/1961,0.0,5.2,32.0,10.5,15/01/1961
16/01/1961,0.0,4.9,30.0,13.0,16/01/1961
17/01/1961,1.4,3.5,28.0,14.0,17/01/1961
18/01/1961,13.9,1.4,22.0,18.0,18/01/1961
19/01/1961,26.1,1.7,22.5,19.0,19/01/1961
20/01/1961,32.6,4.0,24.0,19.5,20/01/1961
21/01/1961,1.7,5.0,29.0,19.0,21/01/1961
22/01/1961,24.9,3.9,21.5,18.0,22/01/1961
23/01/1961,16.2,3.5,19.0,17.5,23/01/1961
24/01/1961,0.0,2.6,27.5,14.0,24/01/1961
25/01/1961,0.0,3.0,29.0,14.0,25/01/1961
26/01/1961,0.0,3.4,31.0,13.0,26/01/1961
27/01/1961,0.0,4.2,30.5,12.5,27/01/1961
28/01/1961,0.0,4.1,29.5,12.0,28/01/1961
29/01/1961,0.0,4.1,31.0,12.0,29/01/1961
30/01/1961,0.0,4.3,29.0,13.0,30/01/1961
31/01/1961,0.0,3.5,33.5,15.0,31/01/1961
01/02/1961,0.0,5.1,31.0,12.5,01/02/1961
02/02/1961,0.0,5.3,31.5,12.5,02/02/1961
03/02/1961,0.0,4.7,29.0,12.5,03/02/1961
04/02/1961,0.0,5.6,28.5,13.0,04/02/1961
05/02/1961,0.0,6.5,27.0,11.5,05/02/1961
06/02/1961,0.0,4.7,25.5,8.0,06/02/1961
07/02/1961,0.0,4.8,27.5,8.0,07/02/1961
08/02/1961,0.0,4.4,29.0,9.5,08/02/1961
09/02/1961,0.0,4.8,31.5,11.5,09/02/1961
10/02/1961,0.0,5.9,34.5,10.0,10/02/1961
11/02/1961,0.0,6.4,37.0,9.5,11/02/1961
12/02/1961,0.0,6.3,37.0,11.5,12/02/1961
13/02/1961,0.0,5.7,35.0,10.5,13/02/1961
