,Year,EVAP,PRECIP,TMAX,TMIN,FECHA,FECHA2
0,1961,6.632328767123288,1119.0,42.0,8.0,1961//01/01,1961-01-01
1,1962,6.917260273972604,826.6999999999999,43.5,5.5,1962//01/01,1962-01-01
2,1963,6.746027397260274,1419.9,44.0,7.5,1963//01/01,1963-01-01
3,1964,6.750273224043716,797.6,43.5,6.0,1964//01/01,1964-01-01
4,1965,7.028767123287671,735.8,44.5,6.5,1965//01/01,1965-01-01
5,1966,6.576986301369863,777.6,45.0,5.5,1966//01/01,1966-01-01
6,1967,6.220000000000001,992.4,44.0,5.5,1967//01/01,1967-01-01
7,1968,5.577595628415301,861.0,41.5,8.5,1968//01/01,1968-01-01
8,1969,6.0501369863013705,735.5,47.0,6.0,1969//01/01,1969-01-01
9,1970,6.135890410958904,844.7,43.5,9.0,1970//01/01,1970-01-01
10,1971,6.192328767123287,991.4,44.0,5.5,1971//01/01,1971-01-01
11,1972,5.964207650273225,702.9,44.0,8.5,1972//01/01,1972-01-01
12,1973,6.137260273972602,910.2,44.0,4.0,1973//01/01,1973-01-01
13,1974,6.1906849315068495,853.5,41.5,6.0,1974//01/01,1974-01-01
14,1975,5.4150684931506845,911.8,40.0,7.5,1975//01/01,1975-01-01
15,1976,6.360109289617487,771.5,42.5,7.5,1976//01/01,1976-01-01
16,1977,6.658082191780822,914.0,42.0,8.5,1977//01/01,1977-01-01
17,1978,6.3372602739726025,1077.1,40.0,11.5,1978//01/01,1978-01-01
18,1979,6.34054794520548,765.4,42.5,9.0,1979//01/01,1979-01-01
19,1980,6.10655737704918,1050.0,42.5,12.0,1980//01/01,1980-01-01
20,1981,5.544383561643836,1039.8,39.0,10.0,1981//01/01,1981-01-01
21,1982,6.036986301369863,711.0,43.0,7.0,1982//01/01,1982-01-01
22,1983,5.401369863013699,1212.1,43.0,9.0,1983//01/01,1983-01-01
23,1984,5.53551912568306,1334.1,40.0,8.0,1984//01/01,1984-01-01
24,1985,5.522191780821918,1133.0,40.0,9.5,1985//01/01,1985-01-01
25,1986,5.868493150684931,992.3,41.0,10.0,1986//01/01,1986-01-01
26,1987,6.311506849315068,718.0,42.0,7.0,1987//01/01,1987-01-01
27,1988,6.236065573770492,980.5,42.0,7.5,1988//01/01,1988-01-01
28,1989,6.17095890410959,892.2,41.0,9.5,1989//01/01,1989-01-01
29,1990,5.990746268656717,1136.0,40.0,9.0,1990//01/01,1990-01-01
30,1991,5.6506849315068495,1046.5,41.0,11.0,1991//01/01,1991-01-01
31,1992,6.008059701492537,761.2,40.5,10.5,1992//01/01,1992-01-01
32,1993,5.777313432835821,969.0,44.0,12.0,1993//01/01,1993-01-01
33,1994,5.915634218289086,1056.0,43.0,8.5,1994//01/01,1994-01-01
34,1995,5.907384615384616,669.0,41.0,8.0,1995//01/01,1995-01-01
35,1996,6.00404984423676,924.5,41.0,7.0,1996//01/01,1996-01-01
36,1997,5.6516717325227965,930.0,41.0,3.5,1997//01/01,1997-01-01
37,1998,6.155342465753424,535.0,43.0,4.5,1998//01/01,1998-01-01
38,1999,6.426243093922652,598.6,42.0,6.0,1999//01/01,1999-01-01
39,2000,5.6234972677595625,1209.5,43.0,5.5,2000//01/01,2000-01-01
40,2001,5.136712328767124,713.7,44.0,6.5,2001//01/01,2001-01-01
41,2002,5.883561643835616,637.0,44.0,7.0,2002//01/01,2002-01-01
42,2003,5.5175,704.0,42.0,7.0,2003//01/01,2003-01-01
43,2004,5.124404761904762,1199.0,42.0,6.0,2004//01/01,2004-01-01
44,2005,4.78006230529595,673.4,40.0,8.5,2005//01/01,2005-01-01
45,2006,5.448203592814371,992.0,40.0,8.5,2006//01/01,2006-01-01
46,2007,5.118975903614458,912.5,41.5,5.0,2007//01/01,2007-01-01
47,2008,5.064506172839507,1012.0,40.0,6.5,2008//01/01,2008-01-01
48,2009,5.116923076923077,788.0,43.0,9.5,2009//01/01,2009-01-01
49,2010,5.098795180722892,573.0,42.0,8.0,2010//01/01,2010-01-01
50,2011,5.584756097560976,734.5,41.0,1.5,2011//01/01,2011-01-01
51,2012,5.140119760479042,775.5,41.5,8.0,2012//01/01,2012-01-01
52,2013,5.325671641791044,989.0,41.0,7.0,2013//01/01,2013-01-01
53,2014,5.12955223880597,945.0,42.0,8.0,2014//01/01,2014-01-01
54,2015,4.685329341317366,1115.5,41.0,5.0,2015//01/01,2015-01-01
55,2016,5.426644736842105,517.5,43.0,6.0,2016//01/01,2016-01-01
56,2017,5.161976047904191,703.0,40.0,7.0,2017//01/01,2017-01-01
57,2018,4.9215568862275445,748.0,40.0,4.0,2018//01/01,2018-01-01
