,Year,Month,EVAP,PRECIP,TMAX,TMIN,FECHA,FECHA2
0,1961,1,4.719354838709678,116.8,34.0,10.5,1961/1/01,1961-01-01
1,1961,2,5.575,0.0,39.0,8.0,1961/2/01,1961-02-01
2,1961,3,7.538709677419354,0.0,39.5,9.5,1961/3/01,1961-03-01
3,1961,4,9.54,16.700000000000003,41.0,12.5,1961/4/01,1961-04-01
4,1961,5,10.893548387096772,0.0,42.0,11.5,1961/5/01,1961-05-01
5,1961,6,9.586666666666668,80.4,42.0,22.0,1961/6/01,1961-06-01
6,1961,7,7.170967741935484,259.6,40.0,21.5,1961/7/01,1961-07-01
7,1961,8,6.754838709677419,233.2,39.5,21.0,1961/8/01,1961-08-01
8,1961,9,5.803333333333333,285.9,37.5,22.0,1961/9/01,1961-09-01
9,1961,10,5.048387096774194,95.2,39.0,17.5,1961/10/01,1961-10-01
10,1961,11,3.756666666666667,9.0,36.5,9.0,1961/11/01,1961-11-01
11,1961,12,3.167741935483871,22.2,34.0,9.0,1961/12/01,1961-12-01
12,1962,1,4.883870967741935,19.2,34.0,5.5,1962/1/01,1962-01-01
13,1962,2,5.360714285714286,0.0,35.0,9.5,1962/2/01,1962-02-01
14,1962,3,7.577419354838709,0.0,37.0,8.5,1962/3/01,1962-03-01
15,1962,4,10.033333333333331,12.0,42.0,12.0,1962/4/01,1962-04-01
16,1962,5,11.416129032258064,0.0,42.0,18.0,1962/5/01,1962-05-01
17,1962,6,9.803333333333336,38.7,43.5,18.0,1962/6/01,1962-06-01
18,1962,7,7.54516129032258,168.4,41.0,21.0,1962/7/01,1962-07-01
19,1962,8,7.383870967741935,252.6,40.0,21.0,1962/8/01,1962-08-01
20,1962,9,5.406666666666666,197.6,38.0,22.5,1962/9/01,1962-09-01
21,1962,10,5.209677419354839,135.7,38.5,20.0,1962/10/01,1962-10-01
22,1962,11,4.52,2.5,38.0,9.5,1962/11/01,1962-11-01
23,1962,12,3.7838709677419353,0.0,35.0,11.0,1962/12/01,1962-12-01
24,1963,1,4.274193548387097,4.6,39.0,7.5,1963/1/01,1963-01-01
25,1963,2,5.682142857142857,3.0,38.0,9.5,1963/2/01,1963-02-01
26,1963,3,8.264516129032257,0.0,42.0,10.0,1963/3/01,1963-03-01
27,1963,4,10.14,0.0,42.0,13.5,1963/4/01,1963-04-01
28,1963,5,11.403225806451612,0.0,44.0,16.0,1963/5/01,1963-05-01
29,1963,6,10.396666666666668,4.3,41.5,20.5,1963/6/01,1963-06-01
30,1963,7,6.0,824.7,40.0,21.0,1963/7/01,1963-07-01
31,1963,8,5.95483870967742,212.0,39.5,22.0,1963/8/01,1963-08-01
32,1963,9,5.8,125.6,41.5,19.5,1963/9/01,1963-09-01
33,1963,10,5.577419354838709,49.5,41.0,18.5,1963/10/01,1963-10-01
34,1963,11,4.243333333333333,22.8,39.0,13.0,1963/11/01,1963-11-01
35,1963,12,3.229032258064516,173.4,39.5,9.0,1963/12/01,1963-12-01
36,1964,1,3.458064516129032,1.0,33.5,8.0,1964/1/01,1964-01-01
37,1964,2,5.524137931034482,0.0,36.0,6.5,1964/2/01,1964-02-01
38,1964,3,6.745161290322581,26.6,39.0,6.0,1964/3/01,1964-03-01
39,1964,4,9.956666666666669,0.0,43.0,11.0,1964/4/01,1964-04-01
40,1964,5,11.338709677419354,1.0,43.5,13.0,1964/5/01,1964-05-01
41,1964,6,9.496666666666666,85.0,42.0,18.0,1964/6/01,1964-06-01
42,1964,7,7.919354838709677,172.0,41.0,21.5,1964/7/01,1964-07-01
43,1964,8,6.496774193548387,190.0,40.0,21.5,1964/8/01,1964-08-01
44,1964,9,5.763333333333334,256.5,38.5,21.0,1964/9/01,1964-09-01
45,1964,10,5.080645161290323,48.0,39.0,18.0,1964/10/01,1964-10-01
46,1964,11,5.14,0.0,38.0,10.0,1964/11/01,1964-11-01
47,1964,12,4.112903225806452,17.5,36.0,9.5,1964/12/01,1964-12-01
48,1965,1,4.390322580645161,7.0,37.5,9.5,1965/1/01,1965-01-01
