,Year,Month,EVAP,PRECIP,TMAX,TMIN,FECHA,FECHA2
0,1990,1,3.4233333333333333,0.0,35.0,9.0,1990/1/01,1990-01-01
1,1990,2,4.439285714285714,25.0,33.0,11.0,1990/2/01,1990-02-01
2,1990,3,6.683870967741936,4.0,37.0,10.5,1990/3/01,1990-03-01
3,1990,4,9.44,0.0,38.5,17.0,1990/4/01,1990-04-01
4,1990,5,10.003225806451614,0.0,40.0,17.0,1990/5/01,1990-05-01
5,1990,6,8.293333333333333,108.5,40.0,22.0,1990/6/01,1990-06-01
6,1990,7,5.674193548387097,460.5,36.0,20.0,1990/7/01,1990-07-01
7,1990,8,6.216129032258064,217.0,38.0,23.5,1990/8/01,1990-08-01
8,1990,10,4.880645161290323,106.0,38.5,15.5,1990/10/01,1990-10-01
9,1990,11,3.88,73.0,39.0,17.5,1990/11/01,1990-11-01
10,1990,12,2.9935483870967743,142.0,34.5,12.5,1990/12/01,1990-12-01
11,1991,1,3.096774193548387,0.0,33.0,11.0,1991/1/01,1991-01-01
12,1991,2,4.092857142857143,5.5,34.0,11.0,1991/2/01,1991-02-01
13,1991,3,6.051612903225807,0.0,40.0,13.0,1991/3/01,1991-03-01
14,1991,4,8.756666666666666,0.0,40.0,14.5,1991/4/01,1991-04-01
15,1991,5,8.990322580645161,0.0,39.0,17.0,1991/5/01,1991-05-01
16,1991,6,9.956666666666669,2.0,41.0,16.0,1991/6/01,1991-06-01
17,1991,7,5.532258064516129,297.5,37.5,23.5,1991/7/01,1991-07-01
18,1991,8,5.874193548387097,211.5,39.0,20.0,1991/8/01,1991-08-01
19,1991,9,4.79,226.5,39.0,23.0,1991/9/01,1991-09-01
20,1991,10,4.961290322580646,33.5,39.5,18.0,1991/10/01,1991-10-01
21,1991,11,3.4566666666666666,91.0,35.0,14.0,1991/11/01,1991-11-01
22,1991,12,2.238709677419355,179.0,32.0,11.0,1991/12/01,1991-12-01
23,1992,1,2.9000000000000004,218.0,28.0,13.0,1992/1/01,1992-01-01
24,1992,2,3.572413793103448,22.5,32.0,11.0,1992/2/01,1992-02-01
25,1992,3,5.006451612903225,4.5,36.0,13.0,1992/3/01,1992-03-01
26,1992,4,8.013333333333334,0.0,38.0,15.0,1992/4/01,1992-04-01
27,1992,5,9.793548387096775,0.0,39.0,17.0,1992/5/01,1992-05-01
28,1992,6,9.76,30.0,40.5,21.0,1992/6/01,1992-06-01
