,Year,Month,EVAP,PRECIP,TMAX,TMIN,DATE,FECHA2
0,1961,1,4.593548387,144,33.5,9,01/01/1961,01/01/1961
1,1961,2,5.985714286,0,38.5,5.5,01/02/1961,01/02/1961
2,1961,3,6.787096774,0,43.5,7.5,01/03/1961,01/03/1961
3,1961,4,8.853333333,0,44.5,8,01/04/1961,01/04/1961
4,1961,5,10.73225806,0,51,14,01/05/1961,01/05/1961
5,1961,6,10.57,168.4,45.5,18,01/06/1961,01/06/1961
6,1961,7,7.787096774,282.1,41,20.5,01/07/1961,01/07/1961
7,1961,8,6.887096774,131.3,44.5,21,01/08/1961,01/08/1961
8,1961,9,5.52,120.3,42.5,20,01/09/1961,01/09/1961
9,1961,10,6.05483871,112.1,41.5,15,01/10/1961,01/10/1961
10,1961,11,3.58,12.6,39,6.5,01/11/1961,01/11/1961
11,1961,12,3.509677419,6,33.5,6,01/12/1961,01/12/1961
12,1962,1,3.651612903,42,34,4,01/01/1962,01/01/1962
13,1962,2,4.357142857,0,37.5,5.5,01/02/1962,01/02/1962
14,1962,3,5.570967742,2.5,48,5,01/03/1962,01/03/1962
15,1962,4,7.45,0,46,10,01/04/1962,01/04/1962
16,1962,5,10.28387097,0,44.5,11,01/05/1962,01/05/1962
17,1962,6,10.32,38.7,45.5,16,01/06/1962,01/06/1962
18,1962,7,8.880645161,130.1,40,21,01/07/1962,01/07/1962
19,1962,8,8.632258065,144.2,41.5,22,01/08/1962,01/08/1962
20,1962,9,7.116666667,131.6,39.5,22,01/09/1962,01/09/1962
21,1962,10,6.609677419,61.1,39,17,01/10/1962,01/10/1962
22,1962,11,6.893333333,5,38.5,5,01/11/1962,01/11/1962
23,1962,12,4.961290323,29.3,33.5,6.5,01/12/1962,01/12/1962
24,1963,1,4.267741935,4.9,38,3,01/01/1963,01/01/1963
25,1963,2,5.575,22.6,39,6,01/02/1963,01/02/1963
26,1963,3,7.112903226,0,41.5,-6.5,01/03/1963,01/03/1963
27,1963,4,8.62,0,41.5,10.5,01/04/1963,01/04/1963
28,1963,5,10.17741935,0,44.5,15.5,01/05/1963,01/05/1963
29,1963,6,10.70666667,46.3,42.5,17,01/06/1963,01/06/1963
30,1963,7,8.219354839,360.5,42,21,01/07/1963,01/07/1963
31,1963,8,6.561290323,351.9,37,20.5,01/08/1963,01/08/1963
32,1963,9,7.79,51.3,40,15,01/09/1963,01/09/1963
33,1963,10,6.329032258,101.2,40,17,01/10/1963,01/10/1963
34,1963,11,4.903333333,6.3,35.5,8,01/11/1963,01/11/1963
35,1964,2,5.544827586,0,34.5,4,01/02/1964,01/02/1964
36,1964,3,6.203225806,29.5,37,4.5,01/03/1964,01/03/1964
37,1964,4,8.546666667,0,41,9,01/04/1964,01/04/1964
38,1964,5,9.987096774,0,42,11.5,01/05/1964,01/05/1964
39,1964,6,10.04666667,49,42.5,16.5,01/06/1964,01/06/1964
40,1964,7,7.770967742,203.8,41.5,18.5,01/07/1964,01/07/1964
41,1964,8,5.251612903,154.6,39.5,20.5,01/08/1964,01/08/1964
42,1964,9,5.726666667,148.8,39.5,20,01/09/1964,01/09/1964
43,1964,10,6.593548387,3,41.5,14.5,01/10/1964,01/10/1964
44,1964,11,6.086666667,0.7,38,5,01/11/1964,01/11/1964
45,1964,12,4.509677419,44.1,35,5.5,01/12/1964,01/12/1964
46,1965,1,5.370967742,3.6,34,9,01/01/1965,01/01/1965
47,1965,2,5.214285714,70.9,34.5,2,01/02/1965,01/02/1965
