,Year,EVAP,PRECIP,TMAX,TMIN,FECHA,FECHA2
0,1990,5.636813186813187,889.2,44.5,5.0,1990//01/01,1990-01-01
1,1991,5.292328767123288,1161.2,46.0,5.0,1991//01/01,1991-01-01
2,1992,5.518306010928962,893.5,46.0,1.0,1992//01/01,1992-01-01
3,1993,6.039178082191781,973.0,46.0,4.5,1993//01/01,1993-01-01
4,1994,6.287671232876712,971.6,47.5,0.0,1994//01/01,1994-01-01
5,1995,6.325205479452055,721.1,44.5,5.0,1995//01/01,1995-01-01
6,1996,5.559289617486339,937.3,44.5,1.5,1996//01/01,1996-01-01
7,1997,5.326301369863013,779.5,45.5,0.0,1997//01/01,1997-01-01
8,1998,4.971232876712329,622.8,46.5,1.5,1998//01/01,1998-01-01
9,1999,5.698351648351648,458.5,48.0,2.0,1999//01/01,1999-01-01
10,2000,5.752459016393443,837.6,48.0,0.0,2000//01/01,2000-01-01
11,2001,5.663287671232877,898.4,46.0,0.5,2001//01/01,2001-01-01
12,2002,6.528767123287671,652.4,45.5,1.5,2002//01/01,2002-01-01
13,2003,5.929589041095891,779.5,44.5,1.0,2003//01/01,2003-01-01
14,2004,5.64535519125683,962.4,45.0,2.0,2004//01/01,2004-01-01
15,2005,5.846575342465753,521.9,44.5,5.5,2005//01/01,2005-01-01
16,2006,5.347107438016529,418.7,45.0,4.0,2006//01/01,2006-01-01
17,2007,5.730838323353293,1010.3,45.0,1.0,2007//01/01,2007-01-01
18,2008,5.718852459016393,883.8,44.5,1.5,2008//01/01,2008-01-01
19,2009,5.379452054794521,965.4,46.0,3.0,2009//01/01,2009-01-01
20,2010,6.138922155688623,515.4,47.0,4.0,2010//01/01,2010-01-01
21,2011,5.803880597014925,484.9,46.5,1.0,2011//01/01,2011-01-01
22,2012,5.806845238095238,839.4,45.5,3.0,2012//01/01,2012-01-01
23,2013,4.612222222222223,0.0,40.5,-3.0,2013//01/01,2013-01-01
