DATE,PRECIP,EVAP,TMAX,TMIN,FECHA_AUX,FECHA_AUX2,Year,Month
01/01/1961,0.0,2.9,23.0,9.0,01/01/1961,1961-01-01,1961,1
02/01/1961,0.0,4.5,27.0,10.5,02/01/1961,1961-01-02,1961,1
03/01/1961,0.0,7.0,27.5,11.0,03/01/1961,1961-01-03,1961,1
04/01/1961,0.0,3.4,25.5,15.5,04/01/1961,1961-01-04,1961,1
05/01/1961,0.5,2.0,21.0,15.5,05/01/1961,1961-01-05,1961,1
06/01/1961,0.0,3.9,25.5,15.5,06/01/1961,1961-01-06,1961,1
07/01/1961,0.0,10.5,27.5,12.5,07/01/1961,1961-01-07,1961,1
08/01/1961,0.0,11.6,25.5,14.5,08/01/1961,1961-01-08,1961,1
09/01/1961,0.0,8.6,27.0,18.5,09/01/1961,1961-01-09,1961,1
10/01/1961,0.0,4.8,32.0,15.5,10/01/1961,1961-01-10,1961,1
11/01/1961,0.0,10.4,30.0,11.5,11/01/1961,1961-01-11,1961,1
12/01/1961,0.0,6.2,30.5,15.0,12/01/1961,1961-01-12,1961,1
13/01/1961,0.0,6.6,32.0,11.0,13/01/1961,1961-01-13,1961,1
14/01/1961,0.0,3.8,30.5,11.0,14/01/1961,1961-01-14,1961,1
15/01/1961,0.0,7.2,31.5,10.5,15/01/1961,1961-01-15,1961,1
16/01/1961,0.0,7.6,33.5,13.5,16/01/1961,1961-01-16,1961,1
17/01/1961,8.0,2.1,28.5,13.0,17/01/1961,1961-01-17,1961,1
18/01/1961,16.5,1.2,24.0,15.0,18/01/1961,1961-01-18,1961,1
19/01/1961,20.0,0.6,22.5,16.0,19/01/1961,1961-01-19,1961,1
20/01/1961,1.0,0.9,23.0,13.5,20/01/1961,1961-01-20,1961,1
21/01/1961,0.0,2.8,25.5,14.0,21/01/1961,1961-01-21,1961,1
22/01/1961,57.8,3.8,23.0,15.0,22/01/1961,1961-01-22,1961,1
23/01/1961,40.2,0.4,23.5,15.5,23/01/1961,1961-01-23,1961,1
24/01/1961,0.0,2.0,26.0,13.5,24/01/1961,1961-01-24,1961,1
25/01/1961,0.0,5.2,26.5,11.5,25/01/1961,1961-01-25,1961,1
26/01/1961,0.0,2.9,26.0,11.0,26/01/1961,1961-01-26,1961,1
27/01/1961,0.0,3.5,28.0,10.5,27/01/1961,1961-01-27,1961,1
28/01/1961,0.0,3.8,27.5,9.5,28/01/1961,1961-01-28,1961,1
29/01/1961,0.0,2.8,29.5,12.0,29/01/1961,1961-01-29,1961,1
30/01/1961,0.0,4.9,30.0,12.5,30/01/1961,1961-01-30,1961,1
31/01/1961,0.0,4.5,31.0,13.5,31/01/1961,1961-01-31,1961,1
01/02/1961,0.0,5.3,29.0,11.0,01/02/1961,1961-02-01,1961,2
02/02/1961,0.0,7.2,32.0,12.0,02/02/1961,1961-02-02,1961,2
03/02/1961,0.0,3.7,30.0,11.5,03/02/1961,1961-02-03,1961,2
04/02/1961,0.0,4.1,29.0,9.5,04/02/1961,1961-02-04,1961,2
