,Year,Month,EVAP,PRECIP,TMAX,TMIN,DATE,DATE2
0,1961,1,4.593548387096774,144.0,33.5,9.0,1961/1/01,1961-01-01
1,1961,2,5.985714285714286,0.0,38.5,5.5,1961/2/01,1961-02-01
2,1961,3,6.787096774193548,0.0,43.5,7.5,1961/3/01,1961-03-01
3,1961,4,8.853333333333333,0.0,44.5,8.0,1961/4/01,1961-04-01
4,1961,5,10.73225806451613,0.0,51.0,14.0,1961/5/01,1961-05-01
5,1961,6,10.57,168.4,45.5,18.0,1961/6/01,1961-06-01
6,1961,7,7.787096774193548,282.1,41.0,20.5,1961/7/01,1961-07-01
7,1961,8,6.887096774193548,131.3,44.5,21.0,1961/8/01,1961-08-01
8,1961,9,5.52,120.3,42.5,20.0,1961/9/01,1961-09-01
9,1961,10,6.054838709677419,112.1,41.5,15.0,1961/10/01,1961-10-01
10,1961,11,3.58,12.6,39.0,6.5,1961/11/01,1961-11-01
11,1961,12,3.509677419354839,6.0,33.5,6.0,1961/12/01,1961-12-01
12,1962,1,3.651612903225807,42.0,34.0,4.0,1962/1/01,1962-01-01
13,1962,2,4.357142857142857,0.0,37.5,5.5,1962/2/01,1962-02-01
14,1962,3,5.570967741935483,2.5,48.0,5.0,1962/3/01,1962-03-01
15,1962,4,7.45,0.0,46.0,10.0,1962/4/01,1962-04-01
16,1962,5,10.283870967741937,0.0,44.5,11.0,1962/5/01,1962-05-01
17,1962,6,10.32,38.7,45.5,16.0,1962/6/01,1962-06-01
18,1962,7,8.880645161290323,130.1,40.0,21.0,1962/7/01,1962-07-01
19,1962,8,8.63225806451613,144.2,41.5,22.0,1962/8/01,1962-08-01
20,1962,9,7.116666666666666,131.60000000000002,39.5,22.0,1962/9/01,1962-09-01
21,1962,10,6.609677419354839,61.1,39.0,17.0,1962/10/01,1962-10-01
22,1962,11,6.8933333333333335,5.0,38.5,5.0,1962/11/01,1962-11-01
23,1962,12,4.961290322580646,29.3,33.5,6.5,1962/12/01,1962-12-01
24,1963,1,4.267741935483872,4.9,38.0,3.0,1963/1/01,1963-01-01
