FECHA,PRECIP,EVAP,TMAX,TMIN,ESTACIÓN,NOMBRE,ESTADO,MUNICIPIO,SITUACIÓN,LATITUD,LONGITUD,ALTITUD,MONTH,YEAR,CLASIFICACION
1961-01-15,0.0,5.2,32.0,10.5,25033.0,EL VAREJONAL,SINALOA,BADIRAGUATO,OPERANDO,25.09483,-107.390136,119.0,1.0,1961.0,Templado
1961-01-16,0.0,4.9,30.0,13.0,25033.0,EL VAREJONAL,SINALOA,BADIRAGUATO,OPERANDO,25.09483,-107.390136,119.0,1.0,1961.0,Templado
1961-01-17,1.4,3.5,28.0,14.0,25033.0,EL VAREJONAL,SINALOA,BADIRAGUATO,OPERANDO,25.09483,-107.390136,119.0,1.0,1961.0,Templado
1961-01-18,13.9,1.4,22.0,18.0,25033.0,EL VAREJONAL,SINALOA,BADIRAGUATO,OPERANDO,25.09483,-107.390136,119.0,1.0,1961.0,Templado
1961-01-19,26.1,1.7,22.5,19.0,25033.0,EL VAREJONAL,SINALOA,BADIRAGUATO,OPERANDO,25.09483,-107.390136,119.0,1.0,1961.0,Templado
1961-01-20,32.6,4.0,24.0,19.5,25033.0,EL VAREJONAL,SINALOA,BADIRAGUATO,OPERANDO,25.09483,-107.390136,119.0,1.0,1961.0,Templado
1961-01-21,1.7,5.0,29.0,19.0,25033.0,EL VAREJONAL,SINALOA,BADIRAGUATO,OPERANDO,25.09483,-107.390136,119.0,1.0,1961.0,Templado
1961-01-22,24.9,3.9,21.5,18.0,25033.0,EL VAREJONAL,SINALOA,BADIRAGUATO,OPERANDO,25.09483,-107.390136,119.0,1.0,1961.0,Templado
1961-01-23,16.2,3.5,19.0,17.5,25033.0,EL VAREJONAL,SINALOA,BADIRAGUATO,OPERANDO,25.09483,-107.390136,119.0,1.0,1961.0,Templado
1961-01-24,0.0,2.6,27.5,14.0,25033.0,EL VAREJONAL,SINALOA,BADIRAGUATO,OPERANDO,25.09483,-107.390136,119.0,1.0,1961.0,Templado
