CLASIFICACION KOPPER MODIFICADA POR GARCIA

25001= 24.088071, -106.649869 = AW:TROPICAL/SABANA
25003= 25.924433, -109.173667 = BW:SECO/DESIERTO
25009= 26.070618, -108.784867 = BS:SECO/ESTEPA
25014= 24.635131, -107.441128 = BS:SECO/ESTEPA
25015= 24.806146, -107.407188 = BS:SECO/ESTEPA
25019= 26.71, -108.3261111 = BS:SECO/ESTEPA
25021= 23.722211, -106.78475 = BS:SECO/ESTEPA
25022= 26.269892, -109.034175 = BW:SECO/DESIERTO
25023= 26.410556, -108.617275 = BS:SECO/ESTEPA
25025= 26.508017,-108.573 = BS:SECO/ESTEPA
25030= 25.22335, -108.191642 = BS:SECO/ESTEPA
25033= 25.09483, -107.390136 = CW: TEMPLADO/SINICO
25036= 24.277995, -106.508847 = AW:TROPICAL/SABANA
25037= 25.477792, -108.06202 = BS:SECO/ESTEPA
25038= 25.567542, -108.459653 = BS:SECO/ESTEPA
25041= 25.354723, -107.217856 = AW:TROPICAL/SABANA
25042= 25.966133, -109.301233 = BW:SECO/DESIERTO
25044= 26.820933, -108.371683 = BS:SECO/ESTEPA
25045= 23.970832, -106.61002 = AW:TROPICAL/SABANA
25046= 25.895717, -108.023887 = AW:TROPICAL/SABANA
25050= 23.931563,-106.882066 = BS:SECO/ESTEPA
25062= 23.217139, -106.411116 = AW:TROPICAL/SABANA
25064= 25.481405, -107.92487 = BS:SECO/ESTEPA
25074= 23.456464, -105.827735 = CW: TEMPLADO/SINICO
25077= 25.368924, -107.837563 = BS:SECO/ESTEPA
25078= 22.999281, -105.844378 = AW:TROPICAL/SABANA
25080= 25.70985, -108.71975 = BW:SECO/DESIERTO
25081= 24.800418, -107.139427 = AW:TROPICAL/SABANA
25087= 24.484506, -106.956089 = BS:SECO/ESTEPA
25093= 25.805307, -107.563303 = CW: TEMPLADO/SINICO
25100= 26.428633, -108.218883 = BS:SECO/ESTEPA
25102= 24.8275, -107.3802778 = BS:SECO/ESTEPA
25103= 25.876964, -108.333306 = BS:SECO/ESTEPA
25105= 25.707876, -108.108708 = BS:SECO/ESTEPA
25106= 24.93414, -107.821848 = BS:SECO/ESTEPA
25107= 25.269444, -107.611111 = AW:TROPICAL/SABANA
25110= 25.345703, -107.547307 = AW:TROPICAL/SABANA
25115= 25.46666667, -108.0833333 = BS:SECO/ESTEPA
25119= 23.346642, -106.242818 = AW:TROPICAL/SABANA
25150= 23.088441, -105.847307 = AW:TROPICAL/SABANA
25155= 26.7167, -108.325361 = BS:SECO/ESTEPA
25158= 25.707199, -107.920196 = AW:TROPICAL/SABANA
25161= 24.323053, -107.369408 = BS:SECO/ESTEPA
25171= 24.76555556, -107.722419 = BS:SECO/ESTEPA
25172= 25.669843, -108.019693 = BS:SECO/ESTEPA
25173= 24.645088, -107.923844 = BS:SECO/ESTEPA
25176= 23.523581, -106.498297 = BS:SECO/ESTEPA
25178= 25.731866, -108.350779 = BS:SECO/ESTEPA
25183= 24.572813, -106.809993 = AW:TROPICAL/SABANA
25186= 23.013487, -105.666225 = AW:TROPICAL/SABANA
