FECHA,PRECIP,EVAP,TMAX,TMIN,ESTACIÓN,NOMBRE,ESTADO,MUNICIPIO,SITUACIÓN,LATITUD,LONGITUD,ALTITUD,MONTH,YEAR,CLASIFICACION
1995-01-01,0.0,3.2,23.0,15.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-02,0.0,1.8,21.0,13.5,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-03,0.0,2.5,25.0,13.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-04,0.0,2.2,27.0,12.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-05,0.0,1.8,26.0,12.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-06,0.0,2.8,27.0,13.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-07,0.0,3.46,27.5,12.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-08,0.0,3.3,29.0,15.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-09,0.0,3.2,30.0,14.5,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-10,0.0,2.15,30.0,17.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-11,0.0,3.2,29.5,14.5,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-12,0.0,3.0,28.0,15.5,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-13,0.0,3.3,26.5,14.5,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-14,0.0,3.6,28.0,15.5,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-15,0.0,3.5,29.0,17.5,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-16,0.0,2.7,27.0,21.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-17,0.0,2.7,28.0,22.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-18,0.0,2.8,27.0,12.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-19,0.0,2.4,25.0,14.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
1995-01-20,0.0,1.2,24.5,14.0,25102,ESCUELA DE BIOLOGIA (UAS),SINALOA,CULIACÁN,SUSPENDIDA,24.8275,-107.3802778,68.8,1,1995,Seco
