FECHA,PRECIP,EVAP,TMAX,TMIN,ESTACIÓN,NOMBRE,ESTADO,MUNICIPIO,SITUACIÓN,LATITUD,LONGITUD,ALTITUD,MONTH,YEAR
1981-01-01,0.0,,24.0,10.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-02,0.0,,24.0,9.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-03,0.0,,33.0,10.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-04,0.0,,28.0,11.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-05,0.0,,28.0,13.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-06,0.0,,28.0,14.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-07,0.0,,28.0,14.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-08,0.0,,29.0,14.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-09,0.0,,27.0,14.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-10,0.0,,30.0,14.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-11,0.0,,25.0,14.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-12,0.0,,24.0,15.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-13,0.0,,28.0,12.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-14,0.0,,29.0,9.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-15,0.0,,23.0,10.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-16,0.0,,24.0,13.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-17,10.0,,29.0,14.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-18,0.0,,25.0,10.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-19,0.0,,25.0,10.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-20,0.0,,28.0,9.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-21,0.0,,27.0,10.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-22,0.0,,31.0,12.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-23,0.0,,30.0,6.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
1981-01-24,0.0,,29.0,5.0,25183,COMEDERO,SINALOA,COSALÁ,OPERANDO,24.572813 ,-106.809993 ,310,1,1981
