COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 17/10/2025 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2025; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 25176 
 NOMBRE    : EL QUEMADO 
 ESTADO    : SINALOA 
 MUNICIPIO : MAZATLÁN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.523581 ° 
 LONGITUD  : -106.498297 ° 
 ALTITUD   : 50 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1979-08-16	0	NULO	NULO	NULO
1979-08-17	0	NULO	36.5	26.5
1979-08-18	0	NULO	37	25
1979-08-19	22.4	NULO	34.5	21
1979-08-20	0	NULO	36	25
1979-08-21	0	NULO	37	28
1979-08-22	11	NULO	33	22
1979-08-23	4.9	NULO	31	25
1979-08-24	6.7	NULO	34	25
1979-08-25	0	NULO	35	26.5
1979-08-26	0	NULO	35.5	25
1979-08-27	1.6	NULO	31.5	23.5
1979-08-28	27.2	NULO	30	22.5
1979-08-29	1.4	NULO	31.5	25
1979-08-30	3.5	NULO	33.5	24
1979-08-31	7	NULO	33	25
1979-09-01	0	NULO	34	22
1979-09-02	0	NULO	35	23
1979-09-03	22.1	NULO	36	25
1979-09-04	0	NULO	34.5	21.5
1979-09-05	0	NULO	35.5	25
1979-09-06	0	NULO	34	26
1979-09-07	0.5	NULO	34	25
1979-09-08	0	NULO	33	24
1979-09-09	3.4	NULO	34	24
1979-09-10	13.3	NULO	32	22.5
1979-09-11	3.2	NULO	32	22
1979-09-12	0	NULO	34	22
1979-09-13	0	NULO	31	24
1979-09-14	0	NULO	32	24
1979-09-15	0	NULO	33	25
1979-09-16	0	NULO	33.5	24
1979-09-17	0	NULO	30.5	24
1979-09-18	0	NULO	35	22
1979-09-19	0	NULO	35	24
1979-09-20	0	NULO	34	25
1979-09-21	0	NULO	34	23
1979-09-22	7.2	NULO	36	23
1979-09-23	0	NULO	30	22.5
1979-09-24	2.8	NULO	30	23
1979-09-25	0	NULO	31	23
1979-09-26	0	NULO	35	22
1979-09-27	0	NULO	36	24
1979-09-28	4.5	NULO	35.5	25
1979-09-29	0	NULO	33	22
1979-09-30	0	NULO	35	22.5
1979-10-01	0	NULO	34	23
1979-10-02	0	NULO	35	22
