columna,inicio,fin,duracion,tipo
PRECIP,1976-02-29,1976-02-29,1,corto
PRECIP,1984-02-29,1984-02-29,1,corto
PRECIP,1995-08-01,1995-08-01,1,corto
PRECIP,2015-01-05,2015-01-05,1,corto
PRECIP,2019-03-01,2019-03-31,31,largo
PRECIP,2019-04-17,2019-04-17,1,corto
PRECIP,2019-04-24,2019-04-24,1,corto
PRECIP,2019-05-31,2019-05-31,1,corto
PRECIP,2021-01-31,2021-01-31,1,corto
PRECIP,2021-06-21,2021-06-21,1,corto
PRECIP,2021-09-16,2021-09-16,1,corto
PRECIP,2021-09-30,2021-09-30,1,corto
PRECIP,2022-01-31,2022-01-31,1,corto
PRECIP,2023-08-05,2023-08-05,1,corto
PRECIP,2023-12-21,2024-01-07,18,largo
EVAP,1970-06-17,1970-06-20,4,largo
EVAP,1993-01-13,1997-12-30,1813,largo
EVAP,2006-07-25,2006-07-25,1,corto
EVAP,2006-08-31,2006-08-31,1,corto
EVAP,2006-09-16,2006-09-16,1,corto
EVAP,2007-07-19,2007-07-19,1,corto
EVAP,2008-03-10,2008-03-10,1,corto
EVAP,2008-09-01,2008-09-01,1,corto
EVAP,2010-07-02,2010-07-02,1,corto
EVAP,2015-01-05,2015-01-05,1,corto
EVAP,2016-07-23,2016-07-23,1,corto
EVAP,2017-09-18,2017-09-18,1,corto
EVAP,2019-01-06,2019-01-06,1,corto
EVAP,2019-03-10,2019-03-10,1,corto
EVAP,2019-04-22,2019-04-22,1,corto
EVAP,2019-05-02,2019-05-02,1,corto
EVAP,2019-06-01,2021-01-04,584,largo
EVAP,2021-07-11,2021-07-11,1,corto
EVAP,2021-08-30,2021-08-31,2,corto
EVAP,2021-09-23,2021-09-23,1,corto
EVAP,2022-01-01,2022-01-02,2,corto
EVAP,2023-08-08,2023-08-16,9,largo
EVAP,2023-10-22,2023-10-23,2,corto
EVAP,2024-01-01,2025-06-30,547,largo
TMAX,1993-01-24,1993-01-24,1,corto
TMAX,1993-02-05,1993-02-05,1,corto
TMAX,1993-02-07,1993-02-07,1,corto
